Idiom,Example,Translation
서울에서 김서방 찾기,전화번호도 모르고 찾는다니 서울에서 김서방 찾기다,Trying to find someone without their phone number is like looking for a needle in a haystack!
뼈대 있다,대나무 뼈대에 방수포를 덮은 텐트 20만개가 빽빽히 자리잡고 있다.,"There are 200,000 tents covered with tarp on a bamboo skeleton."
목 놓고,노무현 전 대통령 추도식 10주기를 하루 앞두고 소천한 유시민 노무현재단 이사장의 모친이 생전 노무현 전 대통령의 서거 소식에 목 놓아 울었던 모습이 회자되고 있다.,"It is said that the mother of Yu si-min, the president of the Roh Moo-hyun Foundation who fled the 10th anniversary of Roh's memorial service, cried over the death of former President Roh Moo-hyun."
유종의 미,대표팀 최선참으로 벤투호에서도 확실히 가치를 증명한 그가 K리그에 이어 아시안컵 무대에서도 우승으로 유종의 미를 거둘 수 있을지 지켜볼 일이다.,"It is the situation to keep our eyes out whether he, who certainly proved his value in the Bento team as the highest seniority of the national team, will be able to get a successful conclusion by winning the Asian Cup after the K-League."
지휘봉을 잡다,김상식 감독이 지휘봉을 잡은 한국 남자농구 대표팀은 29일 오후 7시30분 부산 사직실내체육관에서 레바논을 상대로 2019 중국 농구월드컵 아시아-오세아니아 지역예선 2라운드 경기를 펼친다.,"The South Korean men's basketball team, helm taken by head coach Kim Sang-sik, will play the second round of the 2019 China Basketball World Cup Asia-Oceania Regional Match against Lebanon at 7:30 p.m. at Sajik Indoor Gymnasium in Busan."
말 되다,체크인하려고 벌써 5분은 여기서 기다렸다는 게 말이 되나요?,"I've already waited here for 5 minutes to check in, does this make sense to you?"
입에 붙다,처음 듣는 노래인데도 된장 향기처럼 넓고 얕게 퍼지는 후렴구가 한 십 년 내리 불렀던 것처럼 입에 붙었다.,"It was the first song I heard, but the chorus, which spread as wide and shallow as the smell of soybean paste, stuck to my mouth as it had been sung for ten years."
불똥 튀다,심 의원이 소속된 국회 기재위 국정감사 등은 여야간 대치의 불똥이 튈 경우 초반부터 파행 가능성도 제기되고 있다.,"The inspect of the Strategy and Finance Committee, which includes lawmaker Shim, is raising the possibility of the crippled operation of the National Assembly from the beginning in the event of a confrontation between the ruling and opposition parties."
빛을 발하다,깜짝 등장에 그치는 경우가 많지만 롯데 전병우(26)처럼 그 누구보다도 환하게 빛을 발하는 선수도 나오고 있다.,"There are many just cases of surprises, but there are also some players who are brighter than anyone else, like Lotte Jeon Byung-woo, 26 years old."
문자 그대로,"노동, 존엄, 욕망, 사랑, 유희, 갈등 등 인간 생활의 수많은 활동과 의미가 문자 그대로 ‘우리의 몸이 됨’으로써 우리의 개인적·집합적 건강상태를 보여준다는 것이다.","It is that many activities and meanings of human life, such as labor, dignity, desire, love, play, and conflict, literally “become our bodies,” revealing our personal and collective health."
돌다리도 두들겨 보고 건너라,"‘돌다리도 두드려 보고 건너라'는 속담처럼 모든 세부사항이 다루어졌는지, 허점은 없는지 확인합니다.","As the saying goes, “Look before you leap.” I make sure that every detail is covered and that the contracts are free of loopholes."
시간 가는 줄 모르다,인도에서의 시간이 너무 편안해서 시간 가는 줄 모른다고 말이다.,Time in India is so relaxing that I don't know how time goes.
갈림길에 서다,우리는 지금 중대한 선택의 갈림길에 서 있어.,We are on the verge of an important decision.
덕 보다,"은행은 금리상승기에 예대금리차 등이 벌어져 순이자마진이 커진데다, 부동산 시장이 지난해에도 들썩인 탓에 주택자금 대출이 늘어난 덕을 많이 봤다.","The bank benefited a lot from increased housing fund loans since loan interest margins increased due to widened difference of deposit and loan interest rate during interest rising period, and the real estate market fluctuated last year as well."
세상 떠나다,출연한 가수들 모두 한 마음으로 투병 중이던 전태관의 쾌유를 기원했으나 안타깝게 방송이 나가기 전 전태관이 세상을 떠났다.,"All of the singers had prayed for Jeon Tae-kwan's recovery, but unfortunately, Jeon Tae-kwan passed away before the show went on."
숨 돌리다,"통화가 끝나면 곧바로 다른 전화가 들어오고, 끊으면 숨돌릴 틈 없이 다시 벨이 울리는 ‘전화 지옥’에 자리 잡기를 자처했다.","As soon as the call ended another call came in, and I sought to settle in ""phone hell"" where the bell rings again without a break."
보는 눈이 있다,우리가 보는 눈이 있어서 복덩이를 잘 채용했네 그려?,"We had a good eye to find a talented person, so got lucky, right?"
만에 하나,도쿄전력이 사고 8년여 만에 후쿠시마 제1원전 폐로를 위한 또 하나의 의미 있는 ‘한 걸음’을 내디뎠다.,"More than eight years after the accident, the Tokyo Electric Power Holdings has taken another meaningful ""step"" toward decommissioning the Fukushima Daiichi nuclear power plant."
피도 눈물도 없다,독감에 걸렸는데 사장님은 그래도 출근 하라고 한다. 사장님은 피도 눈물도 없는 사람이다,I said I was sick but the boss said I had to come in anyway. He is merciless!
획을 긋다,낙동강과 함께 ‘호국의 고장’이라는 지역적인 특성이 칠곡 문학의 정서에 큰 획을 긋고 있다.,"Along with the Nakdonggang River, the regional character of ""The Patriotic Region"" marks a major milestone in the sentiment of Chilgok literature."
출사표를 던지다,네이버가 인터넷전문은행 불참을 선언하며 열기가 식었던 상황에서 대형 금융그룹 2곳이 잇따라 출사표를 던지면서 제3 인터넷전문은행 사업권 획득 레이스가 달아오르고 있다.,"Naver's decision to boycott the Internet-only bank has dampened its enthusiasm. As two large financial groups threw their hat into the ring, the race to acquire business rights for a third Internet bank is heating up."
손에 장을 지지다,그 만남이 성사되면 내 손에 장을 지지겠다.,Pigs will fly when the meeting takes place.
간발의 차이,매케인 의원의 부재는 공화당이 간발의 차이로 다수(51 대 49)를 점하는 상원의 지형에도 영향을 줄 것으로 보인다.,"McCain's absence will also affect the Senate's topography, where Republicans dominate the majority (51 vs 49)."
신경 쓰다,시술시간을 좀 더 신경 쓰지 못해드려 정말 죄송합니다.,I'm really sorry I didn't care more about the procedure.
손을 맞잡다,경기도와 도내 5개 대학이 청년 무역인재 양성과 취업을 위해 손을 맞잡았다.,Five universities in Gyeonggi Province and Gyeonggi Province have joined hands to foster young trade talent and help them get a job.
셀 수 없이,남성의 강점이 발휘될 요소들이 많이 줄어들고 여성의 섬세함으로 일의 성과를 더 낼 수 있는 사례들이 셀 수 없이 많다.,There are countless cases in which male strengths are less likely to be exerted and more likely to be better accomplished by female delicacy.
첫 삽을 뜨다,경기도는 5월 17일 오후 4시 남양주시 능내리에서 실학박물관 기공식을 갖고 전시와 교육은 물론 동아시아 실학연구의 메카가 될 복합 문화 공간의 첫 삽을 떴다.,"Gyeonggi Province held a groundbreaking ceremony for the Shilhak Museum in Neungnae-ri, Namyangju, at 4 p.m. on May 17 and opened the first spade of a complex cultural space that will become a mecca for East Asian practical studies as well as exhibitions and education."
앞뒤가 맞다,임 전 차장 때는 ‘소명’된 범죄혐의가 두 전직 대법관 때는 ‘의문의 여지’를 남긴다는 것이어서 앞뒤가 맞지 않는다.,"It does not make sense because the criminal charge, which was Explained for former Vice Minister Lim, leaves a Doubt for the two former Supreme Court justices."
탄력을 받다,"기존 미국, 일본, 독일 기업 등이 주를 이루던 실리콘 업계에 한국의 KCC가 두각을 나타내며 세계 시장으로의 진출에 더욱 탄력을 받게 됐다.","Korea's KCC stands out in the silicon industry, which was mainly dominated by U.S., Japanese, and German companies, and has gained more momentum in the global market."
시작이 반이다,"시작이 반이라고, 운전면허를 따기 위해서 학원부터 등록했다",Well begun is half done. If you want to learn to drive you need to start with lessons.
식은 죽 먹기,어렸을 때부터 이사를 많이 다녀서 친구 사귀기는 식은 죽 먹기이에요.,"I've been moving a lot since I was a kid, so getting new friends is a piece of cakes."
