google_translate,naive_gpt,transidiomation
0.285714,0.285714,0.242424
0.344828,0.193548,0.1875
0.117647,0.105263,0.090909
0.2,0.111111,0.111111
0.527778,0.346667,0.4
0.25,0.166667,0.230769
0.3,0.311111,0.35
0.434783,0.521739,0.761905
0.3,0.117647,0.285714
0.509091,0.313725,0.290909
0.514286,0.181818,0.25
0.580645,0.30303,0.4375
0.666667,0.666667,0.666667
0.930233,0.553191,0.553191
0.473684,0.717949,0.736842
0.235294,0.444444,0.516129
0.4375,0.371429,0.311688
0.533333,0.411765,0.551724
0.292683,0.153846,0.333333
0.313725,0.355556,0.418605
0.272727,0.333333,0.355556
0.457143,0.521739,0.492754
0.666667,0.347826,0.347826
0.819672,0.603175,0.709677
0.5625,0.3125,0.3125
0.25,0.264151,0.230769
0.461538,0.322581,0.375
0.75,0.689655,0.625
0.536585,0.266667,0.266667
0.585366,0.512821,0.425532
0.666667,0.515152,0.483871
0.434783,0.434783,0.434783
0.571429,0.352941,0.545455
0.703704,0.603774,0.692308
0.428571,0.516129,0.484848
0.535714,0.509091,0.535714
0.25,0.233333,0.481481
0.62069,0.634146,0.534884
0.833333,0.461538,0.615385
0.2,0.190476,0.210526
0.434783,0.48,0.56
0.486486,0.486486,0.410959
0.538462,0.28,0.45283
0.684211,0.578947,0.540541
0.758621,0.551724,0.666667
0.322581,0.30303,0.363636
0.366667,0.448276,0.428571
0.5,0.357143,0.311688
0.580645,0.464286,0.533333
0.690909,0.464286,0.4
0.4,0.361111,0.4
0.555556,0.464286,0.40678
0.578947,0.5,0.526316
0.5,0.628571,0.555556
0.230769,0.354839,0.327273
0.564103,0.512821,0.333333
0.625,0.516129,0.516129
0.26087,0.25,0.461538
0.538462,0.142857,0.142857
0.787879,0.482759,0.645161
0.580645,0.59375,0.666667
0.461538,0.494118,0.453333
0.553191,0.378947,0.409091
0.62069,0.451613,0.625
0.485714,0.5,0.352941
0.550725,0.647059,0.56338
0.575342,0.538462,0.421053
0.490566,0.37037,0.315789
0.774194,0.709677,0.6875
0.514286,0.526316,0.717949
0.375,0.4375,0.352941
1.0,0.571429,0.181818
0.371429,0.424242,0.454545
0.8,0.823529,0.823529
0.684211,0.684211,0.578947
0.322581,0.231884,0.328358
0.972973,0.6,0.744186
0.6,0.545455,0.521739
0.428571,0.296296,0.466667
0.90625,0.71875,0.634921
0.712644,0.531646,0.607595
0.26087,0.192308,0.204082
0.341463,0.27027,0.238095
0.603774,0.44,0.44898
0.333333,0.380952,0.349206
0.64,0.636364,0.521739
0.326531,0.254545,0.352941
0.666667,0.666667,0.727273
0.363636,0.285714,0.196721
0.380952,0.285714,0.1
0.886598,0.489362,0.62
0.714286,0.321839,0.404762
0.285714,0.272727,0.333333
0.634921,0.407407,0.372881
0.24,0.181818,0.133333
0.607143,0.533333,0.551724
0.923077,0.809524,0.651163
0.411765,0.363636,0.333333
0.702703,0.461538,0.382353
0.411765,0.514286,0.5
0.387097,0.4,0.518519
0.608696,0.638889,0.637681
0.657143,0.558824,0.535211
0.472727,0.350877,0.357143
0.538462,0.56,0.56
0.526316,0.385965,0.25
0.516129,0.454545,0.633333
0.1875,0.176471,0.378378
0.491228,0.421053,0.27451
0.707692,0.5625,0.656716
0.465753,0.421053,0.415584
0.666667,0.666667,0.875
0.523077,0.275862,0.34375
0.428571,0.428571,0.296296
0.646154,0.575758,0.597015
0.698795,0.698795,0.682927
0.531646,0.27027,0.435897
0.708861,0.65,0.605263
0.608696,0.454545,0.416667
0.666667,0.594595,0.461538
0.666667,0.153846,0.307692
0.650602,0.432432,0.385542
0.535714,0.491228,0.448276
0.44,0.444444,0.327273
0.655738,0.507937,0.424242
0.333333,0.666667,0.866667
0.285714,0.315789,0.095238
0.481481,0.509804,0.566038
0.682353,0.571429,0.561798
0.55,0.47619,0.512821
0.918919,0.777778,0.918919
0.47619,0.454545,0.434783
