Spanish Idiom,Literal English Translation,English (Translation),idiom embedded in a sentence (Spanish), Idiom embedded in a sentence (English),,,,,,,,,,,,
Subirse al carro,To get in the car,To jump on the bandwagon,Corresponde a Castro y Roque demostrar de qué madera están hechos y subirse al carro.,It is up to Castro and Roque to show what they are made of and get in the bandwagon.,,,,,,,,,,,,Corresponde a Castro y Roque demostrar de qué madera están hechos y subirse al carro.
Luchar por una causa perdida,—,To fight for a lost cause,"A pesar de saber que era casi imposible ganar, Pedro seguía luchando por una causa perdida.","Despite knowing it was almost impossible to win, Peter was still fighting for a lost cause. ",,,,,,,,,,,,"A pesar de saber que era casi imposible ganar, Pedro seguía luchando por una causa perdida."
Tirar la toalla,—,To throw in the towel,"Después de varios intentos fallidos, Juan decidió tirar la toalla y dejar el curso de francés.","After several failed attempts, John decided to throw away the towel and leave the French course. ",,,,,,,,,,,,"Después de varios intentos fallidos, Juan decidió tirar la toalla y dejar el curso de francés."
"Cuando se cierra una puerta, se abre una ventana","When a door closes, a window opens","Where one door closes, another one open","Perdí mi trabajo, pero conseguí una oportunidad aún mejor. Es verdad que cuando se cierra una puerta, se abre una ventana.","I lost my job, but I got an even better chance. It is true that when a door is closed, a window opens. ",,,,,,,,,,,,"Perdí mi trabajo, pero conseguí una oportunidad aún mejor. Es verdad que cuando se cierra una puerta, se abre una ventana."
La curiosidad mató al gato,—,Curiosity killed the cat,"Mejor no busques problemas investigando eso, recuerda que la curiosidad mató al gato.","Better don't look for trouble researching that, remember that curiosity killed the cat. ",,,,,,,,,,,,"Mejor no busques problemas investigando eso, recuerda que la curiosidad mató al gato."
Tener enchufe,To have a plug,To be well connected,"Consiguió ese trabajo no por talento, sino porque tiene enchufe en la empresa.","He got that job not because of talent, but because he has a plug in the company. ",,,,,,,,,,,,"Consiguió ese trabajo no por talento, sino porque tiene enchufe en la empresa."
No muerdas la mano que te da de comer,Don’t bite the hand that gives you to eat,Don’t bite the hand that feeds you,Deberías ser agradecido con tu jefe y no criticarlo tanto; no muerdas la mano que te da de comer.,You should be grateful to your boss and not criticize him so much; don't bite the hand that feeds you. ,,,,,,,,,,,,Deberías ser agradecido con tu jefe y no criticarlo tanto; no muerdas la mano que te da de comer.
"En casa del herrero, cuchillo de palo","In the house of a blacksmith, knife of stick",The shoemaker’s son always goes barefoot,"Es curioso que el mecánico tenga su coche averiado. Como se dice, en casa del herrero, cuchillo de palo.","Its fascinating that the mechanic has his car broken down. As it is said, the shoemaker’s son always goes barefoot",,,,,,,,,,,,"Es curioso que el mecánico tenga su coche averiado. Como se dice, en casa del herrero, cuchillo de palo."
Más vale lo malo conocido que lo bueno por conocer,Better the known bad than the good to know it,Better the devil you know than the devil you don’t,Decidí quedarme en mi trabajo actual; más vale lo malo conocido que lo bueno por conocer.,I decided to stay in my current job; a devil you know is better than the one you dont.,,,,,,,,,,,,Decidí quedarme en mi trabajo actual; más vale lo malo conocido que lo bueno por conocer.
"Cuando el gato no está, los ratones bailan","When the cat is not (here), the mice dance","When the cat is away, the mice will play","Los niños siempre se vuelven locos jugando cuando la maestra sale del aula. Cuando el gato no está, los ratones bailan.","Children always go crazy playing when the teacher leaves the classroom. When the cat is away, the mouse will play. ",,,,,,,,,,,,"Los niños siempre se vuelven locos jugando cuando la maestra sale del aula. Cuando el gato no está, los ratones bailan."
