idiom,example,translation
끝을 보다	한번 시작하면 끝을 보는 집념이 가득한 눈빛과, 촉이 곤두선 날카로운 표정이 베테랑 형사의 강력 포스를 느끼게 한다.	His eyes full of tenacity to see the end once he starts, and his sharp expression with a strong look make him feel the veteran detective's powerful force.
앞뒤가 맞다,"“여성주의 안 하고 페미니즘 하겠다”는, 어쩐지 앞뒤가 맞지 않는 이 ‘웃픈’ 공언 덕에 지난해 대전시가 주최한 ‘대전 청년의 학교’행사에 ‘페미니즘 글쓰기 학과’를 개설하는데 성공했다.","The feminism writing department, which was held in Daejeon City's ""Daejeon Youth School"" last year, was successful thanks to the ""funny but sad"" professions of “not yeoseongjuui (feminism) but feminism”."
벽 쌓다,그는 “미국이 벽을 쌓으면서 대체 시장을 찾을 필요성은 더없이 커졌는데 상황은 거꾸로 가고 있다”고 토로했다.,"As America builds walls, the need for alternative markets grows greater than ever, but the situation is going backwards, he complained."
둘도 없다,그 충돌이 결국 세상에 둘도 없는 봉준호 스타일을 만들어냈고 <기생충>은 봉준호 스타일의 결정판이라 해도 과언이 아니다.,"The clash eventually created the Bong Joon-ho style, which is unprecedented in the world, and it is no exaggeration to say that <Parasite> is the best work of Bong Joon-ho style."
꼬집어 말하다,딱 꼬집어 말할 수 없지만 저는 뭔가 찝찝한 기분이 들어요.,I can't pinpoint it but I feel something weird.
어깨를 짓누르다,갑자기 피치 못할 사정으로 서울을 다녀 오는 바람에 피곤이 엄청난 무게로 어깨를 짓누르고 있습니다만 아직 몇 가지 할 일이 남아 있는 상태입니다.,"Suddenly, I came back from Seoul due to unavoidable circumstances, and I'm under a lot of weight, but I still have a few things to do."
아귀 맞다,‘노조설립 허가주의’가 아니라 ‘신고주의’를 내건 국내법과도 맞지 않을 뿐더러 정부가 단결권을 중심으로 한 국제노동기구(ILO) 핵심협약 가입을 추진하는 상황과도 아귀가 맞지 않는 행정이라는 비판이 나온다.,"Critics say the administration is not compatible with the domestic law, which calls for a ""reportism"" rather than an ""authoritarianism for an establishment of a union,"" but also with the government's push to join the International Labor Organization (ILO)'s core convention, centered on the right to organize."
문턱을 넘어서다,"노동신문은 이날 논평에서 “일본이 평양 문턱을 한사코 넘어서고 싶다면 역사 앞에 성근(성실)하고 책임적인 자세를 취해야 하며, 시대착오적인 대조선 적대시 정책과 대담하게 결별하여야 한다”고 했다.","In a commentary that day, Rodong Sinmun said, ""If Japan wants to go beyond the threshold of Pyongyang, it must be diligent and responsible in front of history, and boldly break away from its anachronistic policy of antagonizing Joseon."""
땅에 떨어지다,가장 공정해야 할 사법부마저 권위가 땅에 떨어졌다.,"The judicial branch that should be the most impartial, its authority fell to the ground."
뒤로 물러나다,"가르치려 들지 말고 배우려는 마음으로, 내가 말하려 들지 말고 아이들이 말하도록 한 발 뒤로 물러나면 기똥차게 말을 잘한다.","Do not try to teach, but try to learn, and if you not try to talk, but step back behind your feet for children to talk, you can speak very well."
