google_translate,naive_gpt,transidiomation
-1.284972,-0.586529,-1.032911
-0.958257,-1.128184,-1.249683
-1.722574,-1.083402,-0.682744
-1.420538,-1.339272,-1.270774
0.032107,-0.116335,-0.1388
0.132344,0.151173,-0.759968
-0.570574,-0.791974,-0.910724
0.061449,0.183515,0.127107
-0.255332,-1.221355,-1.0455
0.335826,0.110258,-0.023605
-1.137871,-1.361393,-0.926283
0.200939,0.061712,0.112632
0.510573,0.445303,0.363172
0.781054,0.300401,0.272389
-0.899923,-0.899148,-1.147605
-0.714056,-0.436038,-0.186194
0.003331,-0.472364,-0.336625
0.366383,0.324642,0.445876
-0.889655,-0.524815,-0.937185
0.088256,0.141827,0.203055
-0.087007,0.070408,0.171847
0.201514,-0.262418,-0.163981
0.666619,0.509854,0.499285
0.510781,0.3755,0.477956
0.070824,-0.051809,0.009524
-0.046295,-0.564884,-0.146618
-0.367633,-0.42937,-0.530324
0.825577,0.494776,0.295619
0.400818,-0.152478,0.075493
-0.285477,-0.223328,-0.274401
0.423,0.242782,0.137403
-0.223337,-0.41048,-0.057407
0.315611,-0.533447,-0.320109
0.413797,0.217237,0.163329
-0.026781,-0.392922,-0.520011
0.271419,0.145077,0.188766
-0.944281,-0.958338,0.021958
0.301812,0.242867,0.220897
0.856942,0.414224,0.279368
-0.551307,-0.034942,0.524108
0.426454,0.579021,0.544526
0.03151,0.023891,-0.29016
0.202219,0.290201,0.18019
0.458701,0.36059,0.365202
0.255617,0.260303,0.232195
-0.541547,-0.297288,-0.186537
-0.192229,-0.083504,-0.148848
0.127593,-0.001245,-0.035844
0.220633,-0.149417,0.165339
0.462031,0.210671,0.333559
-0.04333,-0.189622,-0.098204
0.37963,0.359603,0.223736
0.266815,-0.103136,-0.484928
0.359388,0.164813,0.105466
-0.50586,-0.52612,-0.346665
-0.045698,0.397891,0.279401
0.121866,0.229867,0.165294
0.095685,-0.033127,-0.215845
-0.297824,0.116411,-0.954334
-0.042533,-0.119303,-0.177094
0.148152,0.333583,-0.484568
0.179951,0.171034,0.282665
-0.184731,-0.310681,-0.431686
0.547852,0.347999,0.431081
0.427181,0.427068,0.200734
0.056304,0.246606,0.059573
0.248576,0.174565,0.260499
0.057827,0.024771,0.256958
-0.974588,-0.995959,-0.995959
-0.350394,-0.719558,-1.264921
-0.363922,-0.195951,-0.333555
0.962707,-0.670011,-0.344889
0.079792,0.224277,0.207943
0.811998,0.832812,0.27692
0.382095,0.342609,0.342609
-0.265059,-0.085745,-0.376678
0.780205,0.136965,0.440638
0.21181,0.591592,-0.349358
-0.112605,-0.615703,-0.581772
0.722569,0.490884,0.312275
0.265532,-0.183049,-0.212921
0.165336,-0.681641,-0.329762
-0.274001,-0.437658,-0.507469
-0.018248,-0.131631,-0.070639
-0.307243,-0.279367,-0.31761
-0.38633,-0.051618,-0.04783
0.175815,0.014253,0.109153
0.000977,-0.143609,0.134832
0.187621,-0.185688,0.094074
-0.235653,-0.907732,-1.587221
0.562867,0.132352,0.156107
0.101407,-0.193942,0.03908
-1.463663,-1.382405,-1.518071
-0.092341,0.131574,0.118952
-1.003356,-1.387215,-1.058398
0.391094,0.101112,-0.060128
0.755877,0.325558,-0.06424
-0.145368,-0.150416,-0.085682
0.328811,0.171611,0.285726
-0.247003,-0.10582,-0.092041
0.114794,-0.816187,-1.0821
0.132336,0.275535,0.083609
0.374375,0.379483,0.263371
0.316544,0.181167,0.172126
0.29682,0.587556,0.587556
0.356689,0.234975,0.028068
-0.116722,-0.103804,-0.322993
-1.393327,-1.398361,-1.192046
0.072951,0.039709,-0.025542
0.150771,0.258962,-0.036585
0.178385,0.133246,0.1083
0.677818,0.677818,0.677818
0.099173,-0.067149,-0.058187
-0.578289,-0.578289,-0.511053
0.216449,0.14653,0.274762
0.367054,0.260856,0.290456
-0.381919,-0.215903,-0.03141
0.280933,0.083191,0.233472
0.033712,-0.046572,-0.254681
0.229808,0.033617,0.495264
0.266026,0.087553,0.233598
0.313205,0.126586,0.111057
-0.31348,-0.353055,-0.195455
0.200886,0.141629,0.19416
-0.006391,-0.092008,-0.167573
0.093309,0.586506,0.31323
-1.469733,-0.99383,-1.092418
0.192338,0.075374,0.000781
0.105176,0.056846,0.106944
0.572787,0.187837,0.290719
0.508386,0.598153,0.204335
0.106206,0.005769,-0.058684
0.406605,0.092904,0.02244
0.285876,-0.028105,-0.556334
0.235694,0.309716,0.174883
-0.631346,-1.043867,-0.930187
0.964539,0.375958,0.404724
0.444685,0.264663,0.40223
0.030299,-0.100822,0.086723
0.042882,-0.314174,-0.132034
-0.032192,-0.244326,-0.164406
0.42291,0.193588,0.17911
0.506687,-0.50893,-0.22619
0.08002,0.085884,0.251401
-0.330676,-0.179121,-0.543866
0.424077,0.271319,0.233125
0.085096,-0.11444,0.223522
-0.733995,-0.578333,-0.725673
-0.132342,-0.16268,0.082943
-0.026474,-0.323206,-0.181818
0.226484,0.047489,-0.075895
-0.129625,-0.113213,0.360745
0.241694,-0.177268,-0.008639
0.522136,0.077444,0.230847
0.51296,0.350578,0.370992
0.376264,0.528971,0.390458
0.570343,-0.418436,-0.329496
0.272486,0.168847,-0.170911
0.406107,0.132558,0.391388
-0.365424,-0.128718,-0.132944
0.006126,-0.339559,-0.135703
-1.102514,-0.332034,-0.316264
-0.015432,-0.335948,0.054635
0.415697,0.168413,0.408535
0.493925,0.302618,0.476787
-0.702969,-0.818798,-0.663477
0.293935,0.116121,0.127953
0.095299,0.235877,0.091239
-0.658526,0.103698,0.203
0.162531,0.026947,0.073341
0.142075,-0.006051,0.048601
0.101146,0.098427,0.113351
0.096967,0.149833,0.006901
-0.686474,-0.1827,-0.392285
0.042721,0.079252,0.019429
-0.215667,0.105953,-0.246843
0.293982,0.126468,0.254365
0.326676,0.025764,0.228798
0.291636,-0.100976,-0.474438
0.20649,0.362785,0.242647
0.456654,-0.150147,-0.088213
0.565529,-0.085108,-0.03564
0.578355,0.52024,0.585203
0.326214,0.272206,0.216767
