google_translate,naive_gpt,transidiomation
40,60,50
2,10,70
40,10,70
10,20,40
78,40,70
70,70,80
7,7,6
30,70,90
50,5,50
10,80,75
50,40,50
80,60,50
70,70,50
100,9,90
70,70,10
25,60,70
50,80,70
80,70,70
50,10,95
70,80,75
50,70,70
50,4,10
80,75,50
80,70,10
60,10,70
100,70,60
8,70,20
65,70,60
50,80,90
90,8,70
70,50,100
50,60,90
10,70,70
80,8,100
30,30,40
10,100,70
5,10,50
70,50,70
80,70,70
25,5,80
60,85,70
100,10,70
85,80,70
70,60,70
60,70,70
90,70,5
7,5,20
30,70,40
100,80,80
80,8,30
60,70,40
70,80,80
70,70,50
7,40,30
75,70,50
90,10,8
70,70,80
70,70,70
10,5,5
8,8,70
60,80,70
90,70,85
50,60,25
60,100,7
70,60,50
85,90,75
70,80,20
80,70,70
70,70,10
70,7,7
40,50,50
100,8,50
40,40,70
8,9,100
90,60,70
40,70,70
7,10,100
40,80,70
10,5,20
90,80,70
75,70,70
85,70,70
70,80,70
20,20,40
70,7,75
70,70,50
70,60,20
50,8,70
75,80,80
40,60,70
99,95,70
40,80,70
20,20,30
100,7,80
8,2,60
85,70,40
100,8,70
60,60,70
90,80,70
70,60,60
70,1,50
70,50,20
95,70,90
90,80,70
9,70,80
10,85,70
70,80,50
20,10,7
60,30,20
60,80,70
90,70,50
8,90,7
70,70,50
70,100,60
80,60,40
85,85,5
70,50,70
80,70,80
70,60,20
50,20,60
80,50,60
70,30,60
70,70,80
70,70,70
60,50,3
80,8,70
30,10,2
80,80,70
70,50,70
8,8,70
60,70,70
9,70,9
8,70,70
70,20,70
70,100,70
20,50,60
100,85,90
9,30,90
60,10,20
95,40,40
10,5,70
40,50,70
50,10,60
70,70,90
70,80,50
10,70,70
90,80,90
20,5,30
80,100,78
10,80,80
95,85,75
4,5,30
60,20,30
80,80,100
70,70,60
9,95,9
70,20,70
60,20,70
30,80,80
70,20,50
10,10,60
10,10,60
60,40,50
60,70,85
7,60,70
30,60,60
80,70,60
70,90,80
5,40,40
50,80,75
70,60,80
70,70,70
80,70,95
40,20,50
70,50,70
50,60,40
70,70,75
40,60,90
70,40,50
60,70,70
7,8,7
50,10,40
100,80,70
70,8,50
70,70,70
90,90,80
70,10,10
70,20,50
100,85,10
100,80,70
70,10,70
50,60,70
50,60,60
9,8,80
70,70,65
10,100,70
80,100,60
8,60,45
80,70,90
70,80,70
70,70,75
80,100,75
80,80,80
60,60,50
95,70,100
90,60,50
70,70,70
60,50,20
80,100,85
70,70,50
70,75,80
50,50,3
7,90,70
50,10,20
90,40,50
40,20,70
20,8,70
80,70,80
70,70,75
8,60,70
100,65,80
50,70,30
10,30,70
8,98,80
85,95,90
75,70,70
70,70,70
5,20,70
7,100,70
20,50,60
